【わんこ】,にゃんこを勝手にライバル視するシバ犬。,にゃんこの誕生日には忘れずプレゼント,を用意するマメな一面もある。実は,受験生で毎年大学受験に挑戦している。,
【にょろ】,ヘビのような形をしたヘビ。体の模様は,水彩絵の具でペイントしている。つまり,水には弱い。だが、この情報はゲームに,関係無いので注意が必要である。,
【例のヤツ】,一人だと心細いので、トリオで参戦。,一人目が「にゃんこ大戦争」への参加を,インターネットで募集して集まった。,三人ともけっこうお金持ち。,
【カバちゃん】,力持ちで体力にも自信があるカバ。,一度に複数体をまとめて攻撃してくる,危険なやつ。,ちなみに、お姉キャラかどうかは不明。,
【ブタヤロウ】,あだ名を命名してもらったブタ（メス）,だが本人はこの名前に納得はしていない。,体の赤い色は日焼けである。,本名はエリザベス。イギリス生まれ。,
【ジャッキー・ペン】,カンフー映画にあこがれて、,我流でカンフーを始めたペンギン。,ハリウッドデビューを目指して,日々修行に明け暮れる。,
【ゴリさん】,顔がコワイ。という理由で動物園を,追放されたニートゴリラ。,ニートになってからはお酒とギャンブル,におぼれる日々が続く。,
【メェメェ】,ベタな名前にベタな姿。,普通すぎることがコンプレックスな羊。,いつか個性的なキャラになってやるんだと,意気込んでお笑いスクールに通っている。,
【ゴマさま】,ちまたでウワサのアザラシに憧れて,上京してきたアザラシ。,チヤホヤされたいのになかなか,注目されないので体を赤く染めてみた。,
【パオン】,長いリーチを生かした攻撃が特徴的な象。,好きなタイプはぽっちゃりめの巨乳。,グラビアの写真集を集めるのが趣味。,秘蔵のコレクションは数知れず。,
【カ・ンガリュ】,昔読んだマンガがきっかけでボクシングを,始める。ライセンス試験でカンガルーと,いう理由だけで落とされ、人生が真っ白に,燃え尽きた悲劇のカンガルー。,
【一角くん】,人を助ける仕事をしたくて消防署で,働いている。消防車のかわりに人を乗せて,出動することもあるが、足が遅いので,到着する頃には家がほぼ燃え尽きている。,
【クマ先生】,幼稚園の先生。笑顔で振り下ろされる,コブシはめっちゃ痛い。,怒ると怖いが温厚なその性格で園児たちに,クマ先生の愛称で慕われている。,
【ワニック】,ワニ皮のブランド品になりかけたところを,ダンディーな人に助けられたワニ。,通信教育で様々な資格を取得している,資格マニア。ワープロ検定2級。,
【ウサ銀】,見た目以上に「いぶしぎん」なウサギ。,大手商社をやめて独立。,現在４つの会社を経営している。,将来は市長の座を狙っている。,
【リッスントゥミー】,独自で編み出した英語をしゃべるリス。,発音はなんだか英語っぽいけども,何を言っているのかわからない。,普段は駅前の英語教室で講師を務める。,
【ブラックマ】,闇の世界で生きてきた暗殺熊。この不況で,殺しの依頼も激減。１殺、１億で依頼を,募集中。と、今朝の折り込みチラシに,書いてあった。,
【赤羅我王】,人前にでると赤面しちゃう超照れ屋さん。,カラオケでの歌声はプロ級だが人前では,歌ったことが無い。,趣味はもちろん一人カラオケ。,
【カオル君】,ダイエットのしすぎで顔だけになって,しまったカオル君。体が無くなったせいで,顔が肥大化し、ダイエット前よりも体重が,重くなった。なので浮いてみた。,
【黒犬１】,　,　,　,　,
【黒犬２】,　,　,　,　,
【カンバン娘】,あまりにも時間がかかりすぎると出現する,ご近所でも評判のムスメさん。,将来の夢はお嫁さん。,家族構成は、父、母、兄。あとパパ。,
【ガガガガ】,自分は将来美しいチョウになるんだと,期待してサナギから出てきたら、,「ガ」だったことにショックを受ける。,ぐれた時期もあったが現在は更生している。,
【悪の帝王 ニャンダム】,悪の帝王なのにお酒が飲めない自分に,いらだちを覚え、酔った気分になる為に,全身を赤く染めたニャンダム。もちろん、,グラスの中身はコーヒーゼリーである。,
【ぶんぶん先生】,クマ先生の恩師。体罰は愛情だ！と,叫びながら、すれ違うだけで殴ってくる,危険な先生。容赦ない拳はモンスター,ペアレントキラーとして期待されている。,
【ダミー】,　,　,　,　,
【ダミー】,　,　,　,　,
【ダミー】,　,　,　,　,
【ダミー】,　,　,　,　,
【ダミー】,　,　,　,　,
