奇跡やっちゃうよ。,ドーンとやっちゃうよ。,
まあ、,好きなのに決めてくれたらいいよ。,
あっ、いいよ気にしないで。,結構時間あるから。,
まだ決まらないの？,キミ、優柔不断って言われるでしょ？,
あっごめん。ちょっと寝てた。,　,
あっごめん。聞いてなかった。,　,
神様だって、,ロマンチックになりたい時もあるんだ。,
ネコカンの数だけ奇跡は起こるんだよ。,　,
たまに、,頼られてもなー、って思う時もある。,
今？,仕事中。,
あれ？,よく見たらまたキミか。,
男って、背中で語るって聞いたけど,背中に口でもあるの？不思議だね。,
羽根が無い？,そんなの生えてたら化け物だよ。,
神様って、,わりと楽な仕事の部類じゃないかな。,
人から、,割とハンサムだって言われる。,
やっぱ、愛でしょ。,　,
定年後の人生も考えちゃうよね。,あれ？神様って定年あるの？,
イライラしてる時って、,つい手が出ちゃいそうになるよ。,
ネコカン？,嫌いじゃないよ。,
神様って凄いなーって思うよ。,自分で言うのもなんだけど。,
その奇跡、何回目？,　,
えっ、またその奇跡？,　,
ホント？,好きだよねー、キミも。,
なんかこう、宇宙と一体感を感じるよね。,あっ、ボクだけ？,
神様だって好き嫌いはあるよ。,　,
神様の秘密？,フフ、それは秘密だよ。,
キミを見ていると,自分の若い頃を思い出すよ。,
やっぱ、モテたいよね。,　,
なかなかタダでってのは難しいよね。,　,
裸が神様のユニフォームなんだよね。,　,
ボクって偉大だろ？,　,
愛されるよりも愛したいよね。,マジで。,
ネコカンの数＝信仰心だから。,　,
